Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
1,The Hunger Games,Suzanne Collins,4.34,9318770,9780439023481,0439023483,"Genres, Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic","The Hunger Games, #1",374,Hardcover
2,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3616863,Not found,0439686520,"Genres, Fantasy, Young Adult, Fiction, Magic, Audiobook, Childrens, Adventure","Harry Potter, #5",912,Paperback
3,Pride and Prejudice,Jane Austen,4.29,4517843,9781441341709,1441341706,"Genres, Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance",,279,Paperback
4,To Kill a Mockingbird,Harper Lee,4.26,6564282,9780060935467,0060935464,"Genres, Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School",,323,Paperback
5,The Book Thief,Markus Zusak,4.39,2746358,Not found,0375831002,"Genres, Historical Fiction, Fiction, Young Adult, Classics, Historical, War, World War II",,592,Kindle Edition
6,Twilight,Stephenie Meyer,3.66,7001576,9780316015844,0316015849,"Genres, Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance","The Twilight Saga, #1",498,Paperback
7,Animal Farm,George Orwell,,4227932,9780451526342,B0D7LQMF4N,"Genres, Fiction, Dystopia, Fantasy, School, Literature, Science Fiction, Novels",,141,Mass Market Paperback
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139673,9780345538376,0345538374,"Genres, Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",,1728,Mass Market Paperback
9,The Chronicles of Narnia,C.S. Lewis,4.28,685690,9780066238500,0066238501,"Genres, Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade","The Chronicles of Narnia, #1-7",767,Paperback
10,The Fault in Our Stars,John Green,4.13,5480703,Not found,0525478817,"Genres, Young Adult, Fiction, Contemporary, Realistic Fiction, Coming Of Age, Teen, Novels",,313,Hardcover
11,The Picture of Dorian Gray,Oscar Wilde,4.13,1719898,Not found,B0CPCB8FJQ,"Genres, Classics, Fiction, Horror, Gothic, Fantasy, Literature, Novels",,272,Paperback
12,The Giving Tree,Shel Silverstein,4.38,1190454,9780060256654,0060256656,"Genres, Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy",,64,Hardcover
13,Wuthering Heights,Emily Brontë,3.9,1921928,Not found,B00LMSVTO0,"Genres, Fiction, Gothic, Historical Fiction, Literature, Historical, 19th Century, Novels",,464,Paperback
14,Gone with the Wind,Margaret Mitchell,4.31,1247885,9780446365383,0446365386,"Genres, Classics, Historical Fiction, Fiction, Romance, Historical, Literature, War",,1037,Mass Market Paperback
15,The Lightning Thief,Rick Riordan,4.31,3264460,9780786838653,0786838655,"Genres, Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #1",377,Paperback
16,The Perks of Being a Wallflower,Stephen Chbosky,4.23,1910363,Not found,B00QPHG1ZK,"Genres, Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction",,213,Hardcover
17,The Little Prince,Antoine de Saint-Exupéry,4.33,2302532,9780152023980,0152023984,"Genres, Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult",,96,Hardcover
