,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Genre_List,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score
139,139,184.0,A Midsummer Night’s Dream,William Shakespeare,3.94,560793.0,9780743477543,0743477545,"Plays, Fiction, Fantasy, School, Romance, Poetry, Literature",,298,Mass Market Paperback,"['Plays', 'Fiction', 'Fantasy', 'School', 'Romance', 'Poetry', 'Literature']",0.6418786692759295,0.735,0.060074874387445285,0.49527393002660547
251,251,332.0,A Court of Thorns and Roses,Sarah J. Maas,4.17,3604955.0,9781619634442,1619634449,"Fantasy, Young Adult, Fiction, Romantasy, Audiobook, New Adult, Fae","A Court of Thorns and Roses, #1",419,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Romantasy', 'Audiobook', 'New Adult', 'Fae']",0.3522504892367906,0.7925,0.3867809561954891,0.49468448255336295
176,176,237.0,Man’s Search for Meaning,Viktor E. Frankl,4.38,802171.0,9780807014295,080701429X,"Nonfiction, Psychology, Philosophy, Self Help, Memoir, Biography, Audiobook",,165,Paperback,"['Nonfiction', 'Psychology', 'Philosophy', 'Self Help', 'Memoir', 'Biography', 'Audiobook']",0.538160469667319,0.845,0.08598008594144996,0.49455821364936264
149,149,201.0,The Phantom Tollbooth,Norton Juster,4.2,297926.0,9780394820378,0394820371,"Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure",,248,Paperback,"['Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Middle Grade', 'Adventure']",0.6086105675146771,0.8,0.031863416650756156,0.49300325200109774
189,189,253.0,The Lord of the Rings,J.R.R. Tolkien,4.54,706363.0,9780618640157,0618640150,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy",,1216,Paperback,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy']",0.5068493150684932,0.885,0.0756977631590668,0.4909490549751173
151,151,203.0,The Neverending Story,Michael Ende,4.18,212318.0,9780525457589,0525457585,"Fantasy, Fiction, Young Adult, Childrens, Adventure, Classics, German Literature",,396,Hardcover,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Classics', 'German Literature']",0.6046966731898239,0.7949999999999999,0.02267578003633714,0.4871814032868307
194,194,260.0,A Clash of Kings,George R.R. Martin,4.42,985378.0,9780553381696,0553381695,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Dragons","A Song of Ice and Fire, #2",1009,Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Dragons']",0.4931506849315068,0.855,0.10564225935068583,0.4854529517778085
169,169,227.0,Shōgun,James Clavell,4.41,200652.0,9781982603847,1982603844,"Historical Fiction, Fiction, Japan, Historical, Adventure, Audiobook, Literature","Asian Saga, #1",1152,Paperback,"['Historical Fiction', 'Fiction', 'Japan', 'Historical', 'Adventure', 'Audiobook', 'Literature']",0.5577299412915852,0.8525,0.02142375956227149,0.4852691043853155
148,148,199.0,Alice in Wonderland,Jane Carruth,4.03,394489.0,9780517223628,0517223627,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature",,96,Hardcover,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature']",0.6125244618395304,0.7575000000000001,0.04222676767400332,0.48492781503801313
203,203,270.0,The Way of Kings,Brandon Sanderson,4.67,592324.0,9780765326355,0765326353,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Magic","The Stormlight Archive, #1",1007,Hardcover,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Magic']",0.4735812133072408,0.9175,0.06345884983470776,0.4837201402733087
181,181,243.0,The Green Mile,Stephen King,4.48,343180.0,9780451933027,0451933028,"Horror, Fiction, Fantasy, Thriller, Mystery, Classics, Crime",,592,Paperback,"['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Mystery', 'Classics', 'Crime']",0.5264187866927593,0.8700000000000001,0.03672017428262372,0.4825835669618909
163,163,220.0,A Little Princess,Frances Hodgson Burnett,4.23,317539.0,9780142437018,0142437018,"Fiction, Childrens, Classics, Young Adult, Historical Fiction, Middle Grade, Historical",,242,Paperback,"['Fiction', 'Childrens', 'Classics', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']",0.5714285714285714,0.8075000000000001,0.033968326436273864,0.4810119265023108
147,147,198.0,The Good Earth,Pearl S. Buck,4.01,255541.0,9781416500186,1416500189,"Fiction, Historical Fiction, China, Classics, Literature, Historical, Asia","House of Earth, #1",418,Mass Market Paperback,"['Fiction', 'Historical Fiction', 'China', 'Classics', 'Literature', 'Historical', 'Asia']",0.614481409001957,0.7525,0.02731456633417184,0.4797369335010344
174,174,233.0,Howl’s Moving Castle,Diana Wynne Jones,4.29,410460.0,9780064410342,006441034X,"Fantasy, Young Adult, Fiction, Middle Grade, Magic, Classics, Audiobook","Howl’s Moving Castle, #1",329,Mass Market Paperback,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Magic', 'Classics', 'Audiobook']",0.5459882583170255,0.8225,0.04394081010425383,0.47832754635808633
171,171,229.0,The Velveteen Rabbit,Margery Williams Bianco,4.31,266391.0,9780380002559,0380002558,"Classics, Childrens, Fiction, Picture Books, Fantasy, Animals, Young Adult",,40,Paperback,"['Classics', 'Childrens', 'Fiction', 'Picture Books', 'Fantasy', 'Animals', 'Young Adult']",0.5538160469667319,0.8274999999999999,0.02847901191480036,0.47832012236113286
170,170,228.0,Schindler’s List,Thomas Keneally,4.34,163219.0,9780340606513,0340606517,"History, Nonfiction, Holocaust, War, Historical, World War II, Biography",,429,Mass Market Paperback,"['History', 'Nonfiction', 'Holocaust', 'War', 'Historical', 'World War II', 'Biography']",0.5557729941291585,0.835,0.017406368648016434,0.4780311082460683
166,166,224.0,His Dark Materials,Philip Pullman,4.29,165493.0,9780440238607,0440238609,"Fantasy, Fiction, Young Adult, Childrens, Science Fiction Fantasy, Science Fiction, Classics",His Dark Materials #1-3,1088,Mass Market Paperback,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Science Fiction Fantasy', 'Science Fiction', 'Classics']",0.5636007827788649,0.8225,0.017650419270168437,0.47748543889259654
129,129,172.0,The Elephant Tree,R.D. Ronald,3.78,31314.0,9781848764569,1848764561,"Thriller, Mystery, Fiction, Crime, Drama, Contemporary, Novels",,252,Paperback,"['Thriller', 'Mystery', 'Fiction', 'Crime', 'Drama', 'Contemporary', 'Novels']",0.6653620352250489,0.695,0.0032500373749468616,0.47561982530250363
178,178,240.0,Last Sacrifice,Richelle Mead,4.37,295187.0,9781595143068,1595143068,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #6",594,Hardcover,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance']",0.5322896281800391,0.8425,0.03156946121800579,0.4751366896374174
191,191,255.0,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.47,342460.0,9780553256697,0553256696,"Nonfiction, Biography, History, Christian, Memoir, Classics, Holocaust",,242,Mass Market Paperback,"['Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust']",0.50293542074364,0.8674999999999999,0.03664290231782625,0.47241703899280385
165,165,222.0,Thirteen Reasons Why,Jay Asher,3.84,1004672.0,9781595147882,1595147888,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mystery, Mental Health, Teen",,352,Hardcover,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mystery', 'Mental Health', 'Teen']",0.5675146771037183,0.71,0.10771293336291132,0.47231975085036076
186,186,250.0,A Light in the Attic,Shel Silverstein,4.36,465661.0,9780060513061,0060513063,"Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books",,176,Hardcover,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']",0.5127201565557731,0.8400000000000001,0.049865101394233086,0.4720475930405792
188,188,252.0,Misery,Stephen King,4.23,796049.0,9780450417399,0450417395,"Horror, Fiction, Thriller, Mystery, Suspense, Mystery Thriller, Audiobook",,370,Paperback,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Audiobook']",0.5088062622309197,0.8075000000000001,0.08532305959632482,0.47136942277126537
159,159,214.0,Beloved,Toni Morrison,3.97,465173.0,9781400033416,1400033411,"Fiction, Classics, Historical Fiction, Magical Realism, Historical, Literature, School","Beloved Trilogy, #1",325,Paperback,"['Fiction', 'Classics', 'Historical Fiction', 'Magical Realism', 'Historical', 'Literature', 'School']",0.5831702544031312,0.7425,0.04981272817364814,0.4709619202133469
153,153,207.0,Treasure Island,Robert Louis Stevenson,3.85,518596.0,9780753453803,0753453800,"Fiction, Adventure, Historical Fiction, Young Adult, Childrens, Pirates, Fantasy",,352,Hardcover,"['Fiction', 'Adventure', 'Historical Fiction', 'Young Adult', 'Childrens', 'Pirates', 'Fantasy']",0.5968688845401174,0.7125,0.05554620063944697,0.46916141400788103
164,164,221.0,The World According to Garp,John Irving,4.11,234149.0,9780345915597,0345915593,"Fiction, Classics, Literature, Contemporary, Novels, Literary Fiction, Humor",,610,Hardcover,"['Fiction', 'Classics', 'Literature', 'Contemporary', 'Novels', 'Literary Fiction', 'Humor']",0.5694716242661448,0.7775000000000001,0.025018730402300387,0.46854426882714806
215,215,285.0,The Complete Calvin and Hobbes,Bill Watterson,4.81,41387.0,9780740748479,0740748475,"Humor, Graphic Novels, Fiction, Comics, Classics, Comedy, Graphic Novels Comics",,1456,Hardcover,"['Humor', 'Graphic Novels', 'Fiction', 'Comics', 'Classics', 'Comedy', 'Graphic Novels Comics']",0.4442270058708415,0.9524999999999999,0.004331093626898113,0.464740130436406
187,187,251.0,Spirit Bound,Richelle Mead,4.32,302768.0,9781595142504,1595142509,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #5",489,Hardcover,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance']",0.5107632093933464,0.8300000000000001,0.032383070614019134,0.46302020494154433
154,154,208.0,Jonathan Livingston Seagull,Richard Bach,3.86,263538.0,9780743278904,0743278909,"Fiction, Classics, Philosophy, Fantasy, Spirituality, Inspirational, Self Help",,112,Paperback,"['Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Spirituality', 'Inspirational', 'Self Help']",0.5949119373776908,0.715,0.02817282175429039,0.4609166214773634
173,173,231.0,The Silmarillion,J.R.R. Tolkien,4.02,317688.0,9780618391110,0618391118,"Fantasy, Fiction, High Fantasy, Science Fiction Fantasy, Epic Fantasy, Classics, Mythology",,386,Hardcover,"['Fantasy', 'Fiction', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Classics', 'Mythology']",0.5499021526418787,0.7549999999999999,0.03398431744010001,0.4566561562887814
152,152,204.0,Madame Bovary,Gustave Flaubert,3.71,355150.0,9780192840394,0192840398,"Fiction, Classics, France, Literature, French Literature, Romance, 19th Century",,329,Paperback,"['Fiction', 'Classics', 'France', 'Literature', 'French Literature', 'Romance', '19th Century']",0.6027397260273972,0.6775,0.03800482069738163,0.4557473366201734
175,175,234.0,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,429107.0,9780618711659,0618711651,"Fiction, Historical Fiction, Contemporary, Novels, Literary Fiction, Adult Fiction, Literature",,326,Paperback,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Adult Fiction', 'Literature']",0.5440313111545989,0.7425,0.04594204667033494,0.45414513846294
172,172,230.0,The Iliad / The Odyssey,Homer,4.07,80831.0,9780147712554,0147712556,"Fiction, Poetry, Mythology, Classics, Fantasy, Literature, Historical Fiction",,1556,Paperback,"['Fiction', 'Poetry', 'Mythology', 'Classics', 'Fantasy', 'Literature', 'Historical Fiction']",0.5518590998043054,0.7675000000000001,0.008564309431719434,0.453562932751238
161,161,217.0,A Farewell to Arms,Ernest Hemingway,3.82,338322.0,9780099910107,0099910101,"Fiction, Historical Fiction, Classics, War, Literature, Novels, Romance",,293,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'Literature', 'Novels', 'Romance']",0.5772994129158513,0.705,0.03619880316458746,0.45327940611571677
221,221,294.0,Big Little Lies,Liane Moriarty,4.31,1067780.0,9780399587191,0399587195,"Fiction, Mystery, Contemporary, Thriller, Chick Lit, Audiobook, Mystery Thriller",,460,Paperback,"['Fiction', 'Mystery', 'Contemporary', 'Thriller', 'Chick Lit', 'Audiobook', 'Mystery Thriller']",0.42661448140900204,0.8274999999999999,0.11448582107740944,0.4532415388868236
141,141,189.0,Heart of Darkness,Joseph Conrad,3.43,536927.0,9781892295491,1892295490,"Fiction, Classics, Literature, Historical Fiction, Africa, School, Novels",,188,Paperback,"['Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Africa', 'School', 'Novels']",0.6320939334637965,0.6075,0.05751352339875586,0.45234163040514536
205,205,272.0,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,783919.0,9781984801814,1984801813,"Historical Fiction, Fiction, Romance, Historical, World War II, Audiobook, Book Club",,291,Paperback,"['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'World War II', 'Audiobook', 'Book Club']",0.46966731898238745,0.7975000000000001,0.08402124163383413,0.45232330008310523
190,190,254.0,City of Fallen Angels,Cassandra Clare,4.07,624710.0,9781442403543,1442403543,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Vampires, Fiction","The Mortal Instruments, #4",425,Hardcover,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Vampires', 'Fiction']",0.5048923679060666,0.7675000000000001,0.06693458574016722,0.4522873228844769
229,229,306.0,Wonder,R.J. Palacio,4.36,1150542.0,9780375869020,0375869026,"Fiction, Young Adult, Middle Grade, Contemporary, Realistic Fiction, Childrens, School","Wonder, #1",315,Hardcover,"['Fiction', 'Young Adult', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School']",0.40313111545988267,0.8400000000000001,0.1233680187865318,0.4502628518199126
198,198,265.0,The House of the Spirits,Isabel Allende,4.29,294377.0,9780553383805,0553383809,"Fiction, Magical Realism, Historical Fiction, Fantasy, Spanish Literature, Historical, Novels",,448,Paperback,"['Fiction', 'Magical Realism', 'Historical Fiction', 'Fantasy', 'Spanish Literature', 'Historical', 'Novels']",0.4833659491193738,0.8225,0.03148253025760864,0.4495411387250321
321,321,414.0,It Ends with Us,Colleen Hoover,4.12,4233241.0,9781668021040,1668021048,"Fiction, Contemporary, Audiobook, New Adult, Contemporary Romance, Abuse, Chick Lit","It Ends with Us, #1",386,Kindle Edition,"['Fiction', 'Contemporary', 'Audiobook', 'New Adult', 'Contemporary Romance', 'Abuse', 'Chick Lit']",0.19178082191780832,0.78,0.45420997518818673,0.4469753213235793
182,182,244.0,The Secret Magdalene,Ki Longfellow,4.15,4684.0,9780307346667,0307346668,"Historical Fiction, Fiction, Religion, Historical, Spirituality, Literature, Novels",,448,Hardcover,"['Historical Fiction', 'Fiction', 'Religion', 'Historical', 'Spirituality', 'Literature', 'Novels']",0.5244618395303327,0.7875000000000001,0.00039204789917382315,0.44615235018188526
202,202,269.0,Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,474310.0,9780739461198,B0058M5XF2,"Nonfiction, Animals, Memoir, Biography, Dogs, Humor, Biography Memoir",,291,Hardcover,"['Nonfiction', 'Animals', 'Memoir', 'Biography', 'Dogs', 'Humor', 'Biography Memoir']",0.47553816046966735,0.7849999999999999,0.05079333087136268,0.44095326344927566
185,185,249.0,The Wind in the Willows,Kenneth Grahame,4.02,231171.0,9780143039099,0143039091,"Fiction, Childrens, Fantasy, Classics, Animals, Young Adult, Middle Grade",,197,Paperback,"['Fiction', 'Childrens', 'Fantasy', 'Classics', 'Animals', 'Young Adult', 'Middle Grade']",0.5146771037181996,0.7549999999999999,0.02469912497012419,0.439780578978317
199,199,266.0,Dark Places,Gillian Flynn,3.95,799498.0,9780307341563,0307341569,"Mystery, Fiction, Thriller, Mystery Thriller, Crime, Suspense, Audiobook",,424,Hardcover,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']",0.48140900195694725,0.7375,0.08569321377213936,0.4395215649144207
196,196,263.0,Girl with a Pearl Earring,Tracy Chevalier,3.93,759723.0,9780452287020,0452287022,"Historical Fiction, Fiction, Classics, Historical, Art, Romance, Adult Fiction",,233,Paperback,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Art', 'Romance', 'Adult Fiction']",0.4872798434442269,0.7325,0.08142447432794588,0.43908927967607453
241,241,321.0,Mistborn: The Final Empire,Brandon Sanderson,4.49,840627.0,9780765311788,076531178X,"Fantasy, Fiction, High Fantasy, Audiobook, Epic Fantasy, Magic, Science Fiction Fantasy","Mistborn, #1",541,Hardcover,"['Fantasy', 'Fiction', 'High Fantasy', 'Audiobook', 'Epic Fantasy', 'Magic', 'Science Fiction Fantasy']",0.3737769080234834,0.8725,0.09010726743902142,0.43829294344109976
177,177,238.0,Fallen,Lauren Kate,3.72,605542.0,9780385738934,0385738935,"Fantasy, Young Adult, Romance, Paranormal, Angels, Paranormal Romance, Fiction","Fallen, #1",464,Hardcover,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Angels', 'Paranormal Romance', 'Fiction']",0.5362035225048924,0.68,0.06487743432178128,0.4379446392984914
180,180,242.0,A Confederacy of Dunces,John Kennedy Toole,3.89,287622.0,9780802130204,0802130208,"Fiction, Humor, Literature, Comedy, Novels, Classics, American",,394,Paperback,"['Fiction', 'Humor', 'Literature', 'Comedy', 'Novels', 'Classics', 'American']",0.528375733855186,0.7225,0.030757568976765716,0.4373275642351041
201,201,268.0,The Wind-Up Bird Chronicle,Haruki Murakami,4.14,300958.0,9780965341981,0965341984,"Fiction, Magical Realism, Fantasy, Japanese Literature, Novels, Literature, Literary Fiction",,607,Paperback,"['Fiction', 'Magical Realism', 'Fantasy', 'Japanese Literature', 'Novels', 'Literature', 'Literary Fiction']",0.4774951076320939,0.7849999999999999,0.03218881748029216,0.4361546882969252
237,237,316.0,Ready Player One,Ernest Cline,4.23,1243586.0,9780307887436,030788743X,"Science Fiction, Fiction, Young Adult, Fantasy, Dystopia, Audiobook, Adventure","Ready Player One, #1",480,Hardcover,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Dystopia', 'Audiobook', 'Adventure']",0.3835616438356164,0.8075000000000001,0.1333537030818313,0.435680768458796
195,195,262.0,Ella Enchanted,Gail Carson Levine,4.01,419217.0,9780590920681,0590920685,"Fantasy, Young Adult, Fiction, Middle Grade, Romance, Childrens, Fairy Tales","Ella Enchanted, #1",240,Paperback,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Romance', 'Childrens', 'Fairy Tales']",0.4892367906066537,0.7525,0.04488063037610305,0.43490890535549237
167,167,225.0,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,3.52,653212.0,9780060987107,B007CGOP4C,"Fantasy, Fiction, Retellings, Audiobook, Witches, Classics, Magic","The Wicked Years, #1",406,Paperback,"['Fantasy', 'Fiction', 'Retellings', 'Audiobook', 'Witches', 'Classics', 'Magic']",0.5616438356164384,0.63,0.06999348232441369,0.43465557894389945
220,220,293.0,Roots: The Saga of an American Family,Alex Haley,4.44,162157.0,9780440174646,0440174643,"Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race",,729,Mass Market Paperback,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'African American', 'Africa', 'Race']",0.4285714285714286,0.8600000000000001,0.017292392499940166,0.43461628917855355
208,208,276.0,Paper Towns,John Green,3.7,1444674.0,9780142414934,B003F76HBG,"Young Adult, Fiction, Contemporary, Romance, Mystery, Realistic Fiction, Coming Of Age",,305,Paperback,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Mystery', 'Realistic Fiction', 'Coming Of Age']",0.461839530332681,0.675,0.15493490427237766,0.43371628341478574
268,268,352.0,All the Light We Cannot See,Anthony Doerr,4.31,1851322.0,9781476746586,1476746583,"Historical Fiction, Fiction, Historical, War, World War II, Audiobook, France",,544,Hardcover,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Audiobook', 'France']",0.3131115459882583,0.8274999999999999,0.19857725141260127,0.43306779381908367
222,222,297.0,Into the Wild,Jon Krakauer,4.02,1147094.0,9780385486804,0385486804,"Nonfiction, Biography, Adventure, Classics, Memoir, Nature, School",,207,Paperback,"['Nonfiction', 'Biography', 'Adventure', 'Classics', 'Memoir', 'Nature', 'School']",0.42074363992172215,0.7549999999999999,0.12299797193289058,0.431696847548556
234,234,313.0,The Cruel Prince,Holly Black,4.02,1531422.0,9780316310277,0316310271,"Fantasy, Young Adult, Romance, Enemies To Lovers, Fae, Fiction, Young Adult Fantasy","The Folk of the Air, #1",370,Hardcover,"['Fantasy', 'Young Adult', 'Romance', 'Enemies To Lovers', 'Fae', 'Fiction', 'Young Adult Fantasy']",0.3894324853228963,0.7549999999999999,0.16424488816439264,0.4315464605784763
204,204,271.0,Mystic River,Dennis Lehane,4.17,153601.0,9780060584757,0060584750,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Drama",,416,Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Drama']",0.471624266144814,0.7925,0.01637414398493025,0.43131194965340464
226,226,303.0,The Girl Who Kicked the Hornet’s Nest,Stieg Larsson,4.24,758259.0,9780307269997,B007NB94GA,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook","Millennium, #3",566,Hardcover,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']",0.40900195694716235,0.81,0.08126735466619102,0.43098098917872224
211,211,279.0,Speak,Laurie Halse Anderson,4.05,615607.0,9780374311254,0374311250,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen",,224,Hardcover,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Coming Of Age', 'Teen']",0.4559686888454011,0.7625,0.0659576319963459,0.4309247651370642
192,192,258.0,The God of Small Things,Arundhati Roy,3.96,312357.0,9780679457312,B006E58GFG,"Fiction, India, Historical Fiction, Classics, Literary Fiction, Contemporary, Indian Literature",,321,Paperback,"['Fiction', 'India', 'Historical Fiction', 'Classics', 'Literary Fiction', 'Contemporary', 'Indian Literature']",0.49706457925636016,0.74,0.03341218293407875,0.43084948658276767
264,264,348.0,Me Before You,Jojo Moyes,4.26,1735810.0,9780670026609,0670026603,"Fiction, Contemporary, Chick Lit, Audiobook, Adult Fiction, Contemporary Romance, Drama","Me Before You, #1",369,Hardcover,"['Fiction', 'Contemporary', 'Chick Lit', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama']",0.32093933463796476,0.815,0.18618025252692738,0.4287298096132641
193,193,259.0,The Phantom of the Opera,Gaston Leroux,3.96,262450.0,9780060809249,0060809248,"Fiction, Horror, Romance, Gothic, Classics, Mystery, Historical Fiction",,360,Mass Market Paperback,"['Fiction', 'Horror', 'Romance', 'Gothic', 'Classics', 'Mystery', 'Historical Fiction']",0.4951076320939334,0.74,0.028056055229707548,0.4284598694064856
243,243,324.0,The Mark of Athena,Rick Riordan,4.47,645818.0,9781423140603,1423140605,"Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #3",586,Hardcover,"['Fantasy', 'Mythology', 'Young Adult', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",0.3679060665362035,0.8674999999999999,0.06919994217481301,0.4281724092669253
200,200,267.0,Uglies,Scott Westerfeld,3.85,694875.0,9780689865381,0689865384,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Romance, Teen","Uglies, #1",425,Paperback,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Teen']",0.47945205479452047,0.7125,0.07446484603185387,0.42787027572736436
216,216,287.0,Kafka on the Shore,Haruki Murakami,4.12,513540.0,9781400079278,1400079276,"Fiction, Magical Realism, Fantasy, Japanese Literature, Novels, Literature, Classics",,467,Paperback,"['Fiction', 'Magical Realism', 'Fantasy', 'Japanese Literature', 'Novels', 'Literature', 'Classics']",0.4403131115459882,0.78,0.05500357973109142,0.4266263185377227
329,329,425.0,Fourth Wing,Rebecca Yarros,4.58,2778289.0,9781649374042,1649374046,"Romantasy, Dragons, Fiction, Audiobook, Enemies To Lovers, Fantasy Romance, Magic","The Empyrean, #1",498,Hardcover,"['Romantasy', 'Dragons', 'Fiction', 'Audiobook', 'Enemies To Lovers', 'Fantasy Romance', 'Magic']",0.1702544031311155,0.895,0.2980613644576222,0.4260201705897329
223,223,300.0,None of This Is True,Lisa Jewell,4.1,855546.0,9781982179007,1982179007,"Thriller, Mystery, Audiobook, Fiction, Mystery Thriller, Suspense, Crime",,390,Hardcover,"['Thriller', 'Mystery', 'Audiobook', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime']",0.41487279843444225,0.7749999999999999,0.09170840694292896,0.42596164145665555
162,162,219.0,The Canterbury Tales,Geoffrey Chaucer,3.52,232505.0,9780140424386,0140424385,"Fiction, Poetry, Classics, Literature, School, Short Stories, Historical Fiction",,504,Paperback,"['Fiction', 'Poetry', 'Classics', 'Literature', 'School', 'Short Stories', 'Historical Fiction']",0.5733855185909981,0.63,0.024842292749346167,0.4258068952612031
209,209,277.0,Shutter Island,Dennis Lehane,4.13,208775.0,9780380731862,038073186X,"Mystery, Fiction, Thriller, Horror, Mystery Thriller, Crime, Suspense",,369,Mass Market Paperback,"['Mystery', 'Fiction', 'Thriller', 'Horror', 'Mystery Thriller', 'Crime', 'Suspense']",0.45988258317025443,0.7825,0.022295537576229596,0.42539169454097064
242,242,323.0,East of Eden,John Steinbeck,4.42,582278.0,9780142000656,0142000655,"Fiction, Classics, Historical Fiction, Literature, Novels, Literary Fiction, American",,601,Paperback,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'Literary Fiction', 'American']",0.36986301369863006,0.855,0.06238069128143641,0.423159412863883
265,265,349.0,The Martian,Andy Weir,4.42,1206926.0,9780804139021,0804139024,"Science Fiction, Fiction, Audiobook, Adventure, Space, Thriller, Science Fiction Fantasy",,384,Hardcover,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Thriller', 'Science Fiction Fantasy']",0.3189823874755382,0.855,0.12941927220756022,0.42291873665248336
213,213,281.0,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.07,364904.0,9780679785897,B01BITNA5S,"Fiction, Classics, Humor, Journalism, Novels, Literature, American",,204,Paperback,"['Fiction', 'Classics', 'Humor', 'Journalism', 'Novels', 'Literature', 'American']",0.452054794520548,0.7675000000000001,0.03905164117604067,0.42278741016103144
