,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Genre_List,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score
28,28,39.0,The Catcher in the Rye,J.D. Salinger,3.8,3734101.0,9780316769174,0316769177,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels",,277,Paperback,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Coming Of Age', 'Novels']",0.9256360078277887,0.7,0.4006411855923417,0.7004467588088179
12,12,18.0,Jane Eyre,Charlotte Brontë,4.15,2219334.0,9780142437209,0142437204,"Fiction, Gothic, Historical Fiction, Literature, Historical, School, Audiobook",,532,Paperback,"['Fiction', 'Gothic', 'Historical Fiction', 'Literature', 'Historical', 'School', 'Audiobook']",0.9667318982387476,0.7875000000000001,0.23807309906405405,0.6943646890147153
54,54,72.0,The Girl With the Dragon Tattoo,Stieg Larsson,4.17,3332725.0,9780670069019,0670069019,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",Millennium #1,480,Hardcover,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",0.8610567514677103,0.7925,0.35756464094991286,0.689442092872058
15,15,24.0,Memoirs of a Geisha,Arthur Golden,4.16,2062520.0,9781400096893,1400096898,"Fiction, Historical Fiction, Romance, Historical, Novels, Asia, Adult Fiction",,503,Mass Market Paperback,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Novels', 'Asia', 'Adult Fiction']",0.9549902152641878,0.79,0.22124347977551204,0.6853691300383288
8,8,12.0,The Giving Tree,Shel Silverstein,4.38,1190454.0,9780060256654,0060256656,"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy",,64,Hardcover,"['Childrens', 'Classics', 'Fiction', 'Picture Books', 'Poetry', 'Young Adult', 'Fantasy']",0.9784735812133072,0.845,0.12765146136847147,0.6831848708958643
29,29,41.0,A Thousand Splendid Suns,Khaled Hosseini,4.45,1641637.0,9781594489501,B002FVPH5A,"Fiction, Historical Fiction, Historical, Classics, Novels, War, Literary Fiction",,372,Hardcover,"['Fiction', 'Historical Fiction', 'Historical', 'Classics', 'Novels', 'War', 'Literary Fiction']",0.9217221135029354,0.8625,0.1760734014979385,0.6802608658505557
19,19,28.0,Lord of the Flies,William Golding,3.7,3065278.0,9780140283334,0140283331,"Fiction, Classics, Young Adult, School, Dystopia, Literature, Read For School",,182,Paperback,"['Fiction', 'Classics', 'Young Adult', 'School', 'Dystopia', 'Literature', 'Read For School']",0.9471624266144814,0.675,0.32886164765937315,0.6800234649436045
9,9,14.0,Gone with the Wind,Margaret Mitchell,4.31,1247885.0,9780446365383,0446365386,"Classics, Historical Fiction, Fiction, Romance, Historical, Literature, War",,1037,Mass Market Paperback,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Literature', 'War']",0.9745596868884541,0.8274999999999999,0.1338150811049762,0.6782183990868744
39,39,55.0,The Giver,Lois Lowry,4.12,2674765.0,9780385732550,0385732554,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School","The Giver, #1",208,Paperback,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']",0.8943248532289628,0.78,0.28695094378582614,0.6778152244273329
24,24,34.0,Charlotte’s Web,E.B. White,4.2,1956918.0,9780064410939,0064410935,"Fiction, Childrens, Classics, Fantasy, Young Adult, Middle Grade, Animals",,184,Paperback,"['Fiction', 'Childrens', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']",0.9354207436399218,0.8,0.20991004362753665,0.6771413105442298
26,26,37.0,Of Mice and Men,John Steinbeck,3.89,2700572.0,9780142000670,0142000671,"Fiction, School, Historical Fiction, Literature, Read For School, Novels, High School",,107,Paperback,"['Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School']",0.9295499021526419,0.7225,0.2897206071129488,0.6754861429949415
21,21,31.0,City of Bones,Cassandra Clare,4.07,2098845.0,9781416914280,1416914285,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires","The Mortal Instruments, #1",485,Hardcover,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']",0.9412915851272016,0.7675000000000001,0.22514195772171766,0.6743092213673959
20,20,29.0,Romeo and Juliet,William Shakespeare,3.74,2725967.0,9780743477116,0743477111,"Classics, Plays, Fiction, School, Read For School, Literature, High School",,281,Mass Market Paperback,"['Classics', 'Plays', 'Fiction', 'School', 'Read For School', 'Literature', 'High School']",0.9452054794520548,0.685,0.2924460537046595,0.6713160078922198
6,6,8.0,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139673.0,9780345538376,0345538374,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",,1728,Mass Market Paperback,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']",0.9863013698630136,0.9025000000000001,0.01487936075479255,0.6697343561716432
25,25,35.0,Ender’s Game,Orson Scott Card,4.31,1431622.0,9780812550702,0812550706,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia","Ender's Saga, #1",324,Mass Market Paperback,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia']",0.9334637964774951,0.8274999999999999,0.15353413526607687,0.6676957591708211
40,40,56.0,The Handmaid’s Tale,Margaret Atwood,4.15,2236448.0,9780385490818,038549081X,"Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Audiobook","The Handmaid's Tale, #1",311,Paperback,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Audiobook']",0.8923679060665362,0.7875000000000001,0.23990981073842055,0.6651701056481407
18,18,27.0,Anne of Green Gables,L.M. Montgomery,4.32,1054161.0,9780451528827,0451528824,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook","Anne of Green Gables, #1",320,Mass Market Paperback,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']",0.949119373776908,0.8300000000000001,0.11302420039883065,0.6625550096304124
7,7,9.0,The Chronicles of Narnia,C.S. Lewis,4.28,685690.0,9780066238500,0066238501,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade","The Chronicles of Narnia, #1-7",767,Paperback,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Middle Grade']",0.9843444227005871,0.8200000000000001,0.07347909186981949,0.6617814966411807
27,27,38.0,Brave New World,Aldous Huxley,3.99,1971576.0,9780060929879,0060929871,"Fiction, Science Fiction, Dystopia, Literature, Novels, School, Audiobook",,268,Paperback,"['Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Audiobook']",0.9275929549902153,0.7475,0.21148317204420514,0.6587321336093477
