,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
86,,Where Are You Now?,Mary Higgins Clark,,,9781416570882,,Fiction,,372,paperback
87,,The Hound of the Baskervilles,Arthur Conan Doyle,,,9780590702300,,Detective and mystery stories,,178,paperback
90,,Moby Dick. Con CD,Herman Melville,,,9788853006103,,Education,,128,paperback
91,,"Good Morning, Midnight",Reginald Hill,,,9780770429430,,"Dalziel, Andrew (Fictitious character)",,544,paperback
93,,The Naming of the Dead,Ian Rankin,3.5,,,,Fiction,,438,paperback
94,,A Caribbean Mystery,Agatha Christie,,,,,Caribbean Area,,157,paperback
95,,Brother Odd,Dean Ray Koontz,4.5,,9780553589108,,Abandoned children,,466,paperback
96,,Fractured,Karin Slaughter,,,9780099538592,,Abused wives,,530,paperback
97,,Crooked House,Agatha Christie,,,9780006751298,,mystery,,188,paperback
99,,Blood Price,Tanya Huff,,,9780756408404,,Fiction,,274,paperback
100,,The labours of Hercules,Agatha Christie,,,9780006141969,,Mystery,,256,paperback
101,,Purr-fect Crime,"Martin Harry Greenberg, Carol-Lynn Rossel Waugh, Isaac Asimov",,,9781567310849,,Fiction,,296,paperback
102,,The Girl on the Train,Paula Hawkins,,,9780750542234,,Commuters,,408,paperback
103,,Bitter Medicine,Sara Paretsky,,,9780345347220,,Fiction,,276,paperback
104,,Ordeal by Innocence,Agatha Christie,,,9780006170679,,Detective and mystery stories,,192,paperback
105,,Call for the Dead,John Le Carré,4.0,,,,Fiction,,172,paperback
106,,The Full Cupboard of Life,Alexander McCall Smith,,,9780954407506,,Botswana,,202,paperback
108,,A Time to Kill,John Grisham,4.0,,9780440211723,,Fiction,,532,paperback
109,,Longshot,Dick Francis,,,9780399135811,,Fiction,,324,paperback
110,,The Art Thief,Noah Charney,,,9781416563006,,Art thefts,,290,paperback
111,,London Match,Len Deighton,4.0,,9780345332684,,Fiction,,452,paperback
112,,Second Wind,Dick Francis,,,9780515129236,,Fiction,,276,paperback
113,,Confessor,Terry Goodkind,,,9780007250820,,Fiction,,609,paperback
