,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
400,401,The Witches,Roald Dahl,4.18,414489,9780590032490,0590032496,"208 pages, Paperback","Genres
Fantasy
Childrens
Fiction
Classics
Middle Grade
Young Adult
Witches"
401,402,A Little Life,Hanya Yanagihara,4.30,805878,9780385539258,0385539258,"720 pages, Hardcover","Genres
Fiction
Contemporary
Literary Fiction
LGBT
Queer
Mental Health
Novels"
402,403,"Allegiant (Divergent, #3)",Veronica Roth,3.60,1105978,9780007524273,0007524277,"531 pages, Hardcover","Genres
Young Adult
Dystopia
Fiction
Fantasy
Science Fiction
Romance
Adventure"
403,404,A Short History of Nearly Everything,Bill Bryson,4.22,406241,9780767908184,076790818X,"544 pages, Paperback","Genres
Nonfiction
Science
History
Audiobook
Humor
Physics
Popular Science"
404,405,"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.73,297101,9780545044257,0545044251,"4100 pages, Hardcover","Genres
Fantasy
Young Adult
Fiction
Magic
Childrens
Adventure
Classics"
405,406,"The Gunslinger (The Dark Tower, #1)",Stephen King,3.92,640743,9781501143519,1501143514,"231 pages, Paperback","Genres
Fantasy
Fiction
Horror
Science Fiction
Audiobook
Adventure
Science Fiction Fantasy"
406,407,"If I Stay (If I Stay, #1)",Gayle Forman,3.91,946043,9780525421030,0525421033,"208 pages, Hardcover","Genres
Young Adult
Romance
Contemporary
Fiction
Realistic Fiction
Teen
Music"
407,408,"The Power of One (The Power of One, #1)",Bryce Courtenay,4.35,91852,9780345410054,034541005X,"544 pages, Paperback","Genres
Fiction
Historical Fiction
Africa
Classics
South Africa
Coming Of Age
Historical"
408,409,The Complete Novels,Jane Austen,4.57,33701,9780140259445,0140259449,"1344 pages, Paperback","Genres
Classics
Fiction
Romance
Historical Fiction
Literature
Historical
Classic Literature"
409,410,Gulliver’s Travels,Jonathan Swift,3.59,289443,9780141439495,B06XVF5QFY,"306 pages, Paperback","Genres
Classics
Fiction
Fantasy
Adventure
Literature
Novels
18th Century"
410,411,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,561639,9780812511819,0812511816,"800 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Epic Fantasy
High Fantasy
Audiobook
Science Fiction Fantasy
Adventure"
411,412,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,456454,9781423146728,1423146727,"597 pages, Hardcover","Genres
Fantasy
Mythology
Young Adult
Fiction
Middle Grade
Adventure
Greek Mythology"
412,413,Tuck Everlasting,Natalie Babbitt,3.90,285711,9780374480097,0374480095,"148 pages, Paperback","Genres
Fantasy
Classics
Young Adult
Fiction
Childrens
Middle Grade
School"
413,414,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.12,4233241,9781668021040,1668021048,"386 pages, Kindle Edition","Genres
Fiction
Contemporary
Audiobook
New Adult
Contemporary Romance
Abuse
Chick Lit"
414,415,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,892739,9780345803504,B00DNW19FC,"579 pages, Paperback","Genres
Romance
Erotica
Fiction
BDSM
Contemporary
Contemporary Romance
Chick Lit"
415,416,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,450560,Not found,Not found,"184 pages, Paperback","Genres
Nonfiction
Memoir
Biography
Psychology
Autobiography
Abuse
Biography Memoir"
416,417,’Salem’s Lot,Stephen King,4.10,623014,9780450031069,0450031063,"483 pages, Paperback","Genres
Horror
Fiction
Vampires
Fantasy
Thriller
Paranormal
Audiobook"
417,418,A Portrait of the Artist as a Young Man,James Joyce,3.64,158707,9780142437346,0142437344,"329 pages, Paperback","Genres
Classics
Fiction
Literature
Irish Literature
Ireland
Novels
20th Century"
418,419,Bel Canto,Ann Patchett,3.94,304604,Not found,Not found,"318 pages, Paperback","Genres
Fiction
Contemporary
Literary Fiction
Historical Fiction
Audiobook
Book Club
Music"
419,420,11/22/63,Stephen King,4.34,593292,9781451627282,1451627289,"849 pages, Hardcover","Genres
Fiction
Historical Fiction
Science Fiction
Time Travel
Horror
Fantasy
Thriller"
420,421,The Grapes of Wrath,John Steinbeck,4.02,954793,9780670016907,067001690X,"496 pages, Hardcover","Genres
Classics
Fiction
Historical Fiction
Literature
Novels
School
American"
421,422,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.46,1277428,9781619630659,1619630656,"565 pages, Hardcover","Genres
Young Adult
Romance
Fantasy
Fiction
Magic
Fae
Romantasy"
422,423,Inferno,Dante Alighieri,4.03,195592,9780812970067,B0BQJ59T18,"490 pages, Kindle Edition","Genres
Classics
Poetry
Fiction
Literature
Religion
Fantasy
School"
423,424,القرآن الكريم,Anonymous,4.38,70632,Not found,B0DTR624WB,"604 pages, Hardcover","Genres
Nonfiction
Classics
Philosophy
Religion
Spirituality
History
Theology"
424,425,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.58,2778289,9781649374042,1649374046,"498 pages, Hardcover","Genres
Romantasy
Dragons
Fiction
Audiobook
Enemies To Lovers
Fantasy Romance
Magic"
425,426,Tao Te Ching,Lao Tzu,4.29,172111,9780679724346,0679724346,"107 pages, Paperback","Genres
Philosophy
Nonfiction
Classics
Spirituality
Poetry
China
Self Help"
426,427,Cold Mountain,Charles Frazier,3.89,246749,9780802142849,0802142842,"449 pages, Paperback","Genres
Historical Fiction
Fiction
Historical
Romance
Civil War
War
Classics"
427,428,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,242797,9780553212280,0553212281,"448 pages, Mass Market Paperback","Genres
Classics
Horror
Fiction
Short Stories
Poetry
Gothic
Mystery"
428,429,As I Lay Dying,William Faulkner,3.72,178267,Not found,Not found,"288 pages, Paperback","Genres
Classics
Fiction
Literature
Novels
American
School
Southern Gothic"
