,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
491,492,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17,766454,9780553582024,B005JV4KFG,"1060 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Epic Fantasy
High Fantasy
Science Fiction Fantasy
Audiobook
Dragons"
492,493,Death of a Salesman,Arthur Miller,3.58,248305,9780435233075,0435233076,"144 pages, Hardcover","Genres
Classics
Plays
Fiction
Drama
School
Theatre
Literature"
493,494,Carrie,Stephen King,3.99,793640,9781416524304,1416524304,"272 pages, Mass Market Paperback","Genres
Horror
Fiction
Thriller
Classics
Fantasy
Paranormal
Supernatural"
494,495,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85,227705,9780743496315,B000FCSIOS,"389 pages, Paperback","Genres
Fiction
Horror
Young Adult
Classics
Gothic
Mystery
Thriller"
495,496,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,205101,9780142402498,0142402494,"160 pages, Mass Market Paperback","Genres
Classics
Childrens
Fiction
Middle Grade
Fantasy
Young Adult
Humor"
496,497,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.46,966573,9780062498533,0062498533,"454 pages, Hardcover","Genres
Young Adult
Fiction
Contemporary
Audiobook
Realistic Fiction
Race
Social Justice"
497,498,"Evermore (The Immortals, #1)",Alyson Noel,3.59,295741,9780312532758,031253275X,"301 pages, Paperback","Genres
Young Adult
Fantasy
Paranormal
Romance
Paranormal Romance
Fiction
Supernatural"
498,499,We Were Liars,E. Lockhart,3.66,1236013,9780385741279,0385741278,"242 pages, Kindle Edition","Genres
Young Adult
Mystery
Fiction
Contemporary
Romance
Thriller
Mystery Thriller"
499,500,The Scarlet Pimpernel,Emmuska Orczy,4.07,138835,9781576469231,1576469239,"182 pages, Paperback","Genres
Classics
Historical Fiction
Fiction
Adventure
Historical
Mystery
France"
500,501,The Nightingale,Kristin Hannah,4.64,1743746,9780312577223,0312577222,"564 pages, Hardcover","Genres
Historical Fiction
Fiction
Historical
Audiobook
World War II
War
Romance"
501,502,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.30,557511,9780553279375,B00P4JQBIC,"289 pages, Paperback","Genres
Nonfiction
Classics
Memoir
Biography
Autobiography
Poetry
Feminism"
502,503,"The Host (The Host, #1)",Stephenie Meyer,3.86,1032867,9780316068048,0316068047,"619 pages, Hardcover","Genres
Fantasy
Young Adult
Science Fiction
Romance
Fiction
Dystopia
Paranormal"
503,504,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,really,725687,9780609608449,0609608444,"464 pages, Hardcover","Genres
Nonfiction
History
True Crime
Crime
Historical
Mystery
Audiobook"
504,505,Persuasion,Jane Austen,4.15,738884,9780192802637,0192802631,"249 pages, Paperback","Genres
Fiction
Classics
Historical Fiction
Audiobook
Historical
Literature
19th Century"
505,506,Jonathan Strange & Mr Norrell,Susanna Clarke,3.87,246040,Not found,Not found,"1006 pages, Paperback","Genres
Fantasy
Fiction
Historical Fiction
Historical
Magic
Audiobook
Science Fiction Fantasy"
506,507,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05,388254,9780545424929,0545424925,"409 pages, Hardcover","Genres
Fantasy
Young Adult
Paranormal
Romance
Fiction
Audiobook
Urban Fantasy"
507,508,Snow Flower and the Secret Fan,Lisa See,4.09,380134,Not found,B000FCK71U,"288 pages, Kindle Edition","Genres
Historical Fiction
Fiction
China
Historical
Book Club
Asian Literature
Adult Fiction"
508,509,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86,555874,Not found,Not found,"396 pages, Paperback","Genres
Fantasy
Young Adult
Fiction
Middle Grade
Childrens
Science Fiction
Adventure"
509,509,Sharp Objects,Gillian Flynn,4.01,1148397,9780297851530,0297851535,"254 pages, Paperback","Genres
Mystery
Thriller
Fiction
Mystery Thriller
Crime
Audiobook
Suspense"
510,511,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.96,460405,9780525423270,0525423273,"372 pages, Hardcover","Genres
Romance
Young Adult
Contemporary
Fiction
Chick Lit
Realistic Fiction
Contemporary Romance"
511,512,Northanger Abbey,Jane Austen,3.85,429190,9781593082642,1593082649,"260 pages, Paperback","Genres
Classics
Fiction
Gothic
Historical Fiction
Literature
Audiobook
Historical"
