,Unnamed: 0.1,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score,Genre_List,Cluster,PCA1,PCA2,Age_Group_Min
12,11,11,17.0,The Little Prince,Antoine de Saint-Exupéry,4.33,2302532.0,9780152023980,0152023984,"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult",,96,Hardcover,0.9686888454011742,0.8325,0.2470020892407482,0.7201727336604806,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']",0,-0.3668401219200538,-0.2998414905072544,8
13,29,29,41.0,A Thousand Splendid Suns,Khaled Hosseini,4.45,1641637.0,9781594489501,B002FVPH5A,"Fiction, Historical Fiction, Historical, Classics, Novels, War, Literary Fiction",,372,Hardcover,0.9217221135029354,0.8625,0.1760734014979385,0.7056988787502185,"['Fiction', 'Historical Fiction', 'Historical', 'Classics', 'Novels', 'War', 'Literary Fiction']",1,0.17714259487151673,0.26779680069744033,18
14,6,6,8.0,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139673.0,9780345538376,0345538374,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",,1728,Mass Market Paperback,0.9863013698630136,0.9025,0.0148793607547925,0.7015451826544515,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']",0,-0.21276732264415463,0.16663788324155784,18
15,54,54,72.0,The Girl With the Dragon Tattoo,Stieg Larsson,4.17,3332725.0,9780670069019,0670069019,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",Millennium #1,480,Hardcover,0.8610567514677103,0.7925,0.3575646409499128,0.7009053481044057,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",4,-0.28960160199926016,0.41281729841163545,18
16,8,8,12.0,The Giving Tree,Shel Silverstein,4.38,1190454.0,9780060256654,0060256656,"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy",,64,Hardcover,0.9784735812133072,0.845,0.1276514613684714,0.6990312606454447,"['Childrens', 'Classics', 'Fiction', 'Picture Books', 'Poetry', 'Young Adult', 'Fantasy']",0,-0.3815056419059482,-0.34022231776531786,8
17,115,115,153.0,Catching Fire,Suzanne Collins,4.34,3856108.0,9780439023498,0439023491,"Young Adult, Fiction, Fantasy, Science Fiction, Romance, Audiobook, Teen","The Hunger Games, #2",391,Hardcover,0.7025440313111546,0.835,0.4137352419937927,0.6965698183262368,"['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Audiobook', 'Teen']",0,-0.21227852173575618,-0.26485301781709186,8
18,12,12,18.0,Jane Eyre,Charlotte Brontë,4.15,2219334.0,9780142437209,0142437204,"Fiction, Gothic, Historical Fiction, Literature, Historical, School, Audiobook",,532,Paperback,0.9667318982387476,0.7875000000000001,0.238073099064054,0.6949512493257004,"['Fiction', 'Gothic', 'Historical Fiction', 'Literature', 'Historical', 'School', 'Audiobook']",1,-0.08474206588865174,-0.14446326202261142,8
19,17,17,26.0,The Alchemist,Paulo Coelho,3.92,3337364.0,9780061122415,B00A2KBUGQ,"Fiction, Fantasy, Philosophy, Self Help, Novels, Spirituality, Audiobook",,197,Paperback,0.9510763209393348,0.73,0.3580625085119899,0.6922847073628311,"['Fiction', 'Fantasy', 'Philosophy', 'Self Help', 'Novels', 'Spirituality', 'Audiobook']",4,-0.23627748046739544,0.2393402857932788,18
20,9,9,14.0,Gone with the Wind,Margaret Mitchell,4.31,1247885.0,9780446365383,0446365386,"Classics, Historical Fiction, Fiction, Romance, Historical, Literature, War",,1037,Mass Market Paperback,0.974559686888454,0.8274999999999999,0.1338150811049762,0.6908436919983576,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Literature', 'War']",1,0.005302935015964455,0.2639298264852409,18
21,15,15,24.0,Memoirs of a Geisha,Arthur Golden,4.16,2062520.0,9781400096893,1400096898,"Fiction, Historical Fiction, Romance, Historical, Novels, Asia, Adult Fiction",,503,Mass Market Paperback,0.9549902152641878,0.79,0.221243479775512,0.689058423759925,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Novels', 'Asia', 'Adult Fiction']",1,0.12854458259482734,0.19912279890135934,18
22,24,24,34.0,Charlotte’s Web,E.B. White,4.2,1956918.0,9780064410939,0064410935,"Fiction, Childrens, Classics, Fantasy, Young Adult, Middle Grade, Animals",,184,Paperback,0.9354207436399218,0.8,0.2099100436275366,0.6863326968168646,"['Fiction', 'Childrens', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']",0,-0.3872870893572628,-0.3735387638147575,8
23,25,25,35.0,Ender’s Game,Orson Scott Card,4.31,1431622.0,9780812550702,0812550706,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia","Ender's Saga, #1",324,Mass Market Paperback,0.9334637964774952,0.8274999999999999,0.1535341352660768,0.685499482935893,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia']",0,-0.12118213243291912,-0.26347012331700614,8
24,39,39,55.0,The Giver,Lois Lowry,4.12,2674765.0,9780385732550,0385732554,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School","The Giver, #1",208,Paperback,0.8943248532289628,0.78,0.2869509437858261,0.6853189492536972,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']",0,-0.1854355292709742,-0.31376742664055857,8
25,28,28,39.0,The Catcher in the Rye,J.D. Salinger,3.8,3734101.0,9780316769174,0316769177,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels",,277,Paperback,0.9256360078277888,0.7,0.4006411855923417,0.6815692983550325,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Coming Of Age', 'Novels']",0,-0.33935719679161663,-0.2718168137103424,8
26,18,18,27.0,Anne of Green Gables,L.M. Montgomery,4.32,1054161.0,9780451528827,0451528824,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook","Anne of Green Gables, #1",320,Mass Market Paperback,0.949119373776908,0.8300000000000001,0.1130242003988306,0.6805358935439347,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']",0,-0.1665207807764849,-0.3409643943403711,8
